"avg_r"	"#hitsAntd"	"totalNumAnnotations"	"#hitsAntdH_i"	"numAnnotationsH_i"	"csvListOfPairedRs"	"scoreDistribution"	"annotatorId"
0.0798	2	45	0	0	"49=-0.1796, 50=-0.0604, 43=0.0642, 4=0.2627, 71=0.3222, 70=0.0695"	"0=88.9%, 1=8.9%, 2=0.0%, 3=2.2%"	"60"
0.1451	1	25	0	0	"50=0.2947, 62=0.2511, 4=-0.0986, 49=0.1333"	"0=48.0%, 1=16.0%, 2=24.0%, 3=12.0%"	"61"
0.1177	4	70	0	0	"48=0.0264, 49=0.226, 208=0.0801, 206=0.3761, 50=0.1554, 61=0.2511, 2=-0.1678, 4=0.4863, 179=-0.0967, 68=-0.1595"	"0=35.7%, 1=41.4%, 2=1.4%, 3=21.4%"	"62"
0.1881	3	60	0	0	"49=0.2152, 88=0.4359, 75=0.242, 89=0.1001, 4=0.1651, 67=0.0, 90=0.3658, 81=-0.0192"	"0=20.0%, 1=50.0%, 2=25.0%, 3=5.0%"	"64"
0.4918	1	25	0	0	"67=0.7701, 50=0.3122, 66=0.344, 49=0.5409"	"0=68.0%, 1=16.0%, 2=12.0%, 3=4.0%"	"65"
0.2986	1	25	0	0	"67=0.2676, 65=0.344, 50=0.184, 49=0.3989"	"0=16.0%, 1=24.0%, 2=32.0%, 3=28.0%"	"66"
0.2018	5	105	0	0	"49=0.141, 50=0.561, 76=0.2182, 88=0.0, 2=-0.1424, 64=0.0, 65=0.7701, 66=0.2676, 90=0.0, 81=-0.2752, 79=0.5421, 4=0.3389"	"0=88.6%, 1=7.6%, 2=2.9%, 3=1.0%"	"67"
0.3514	7	117	0	0	"203=0.3211, 48=0.2559, 207=-0.028, 49=0.4509, 208=0.7105, 62=-0.1595, 50=0.1282, 117=0.4283, 2=0.5156, 4=0.5261, 179=0.5769, 69=0.4909"	"0=50.4%, 1=34.2%, 2=9.4%, 3=6.0%"	"68"
0.1941	1	22	0	0	"68=0.4909, 50=-0.2762, 4=0.204, 49=0.3576"	"0=68.2%, 1=13.6%, 2=9.1%, 3=9.1%"	"69"
0.4793	1	20	0	0	"2=0.4481, 167=0.8674, 171=0.4901, 48=0.1115"	"0=80.0%, 1=15.0%, 2=0.0%, 3=5.0%"	"172"
0.4166	1	20	0	0	"2=0.5847, 167=0.4588, 172=0.4901, 48=0.1327"	"0=80.0%, 1=20.0%, 2=0.0%, 3=0.0%"	"171"
0.0498	2	30	2	30	"216=-0.183, 150=0.1538, 229=0.3203, 48=-0.0407, 49=0.0982, 43=0.0, 179=0.0"	"0=93.3%, 1=0.0%, 2=6.7%, 3=0.0%"	"222"
0.2052	1	15	0	0	"158=0.3536, 2=0.0873, 48=0.1746"	"0=40.0%, 1=53.3%, 2=6.7%, 3=0.0%"	"183"
0.3885	1	15	0	0	"158=0.3549, 2=0.4198, 179=0.4841, 48=0.2953"	"0=26.7%, 1=46.7%, 2=26.7%, 3=0.0%"	"180"
0.3198	49	912	0	0	"150=0.4389, 157=0.5222, 211=0.0446, 159=0.3713, 158=0.2079, 62=-0.1678, 178=0.3275, 192=0.4866, 133=0.1773, 132=0.6516, 117=0.3756, 53=0.5022, 179=0.529, 67=-0.1424, 82=0.2737, 139=0.7327, 81=0.2246, 172=0.4481, 171=0.5847, 27=0.3833, 20=0.2585, 22=0.1241, 49=-0.1229, 156=0.638, 28=0.3929, 43=0.3016, 40=0.4451, 41=0.3372, 1=0.2109, 183=0.0873, 180=0.4198, 5=0.2907, 4=0.29, 206=0.3359, 194=0.3879, 9=0.2967, 188=0.5282, 166=0.437, 68=0.5156, 203=0.2496, 145=0.6096, 205=0.5009, 204=0.5892, 207=0.2745, 177=0.3855, 209=0.2306, 208=0.5322, 6=0.2907, 120=0.465, 121=0.1031, 122=0.0746, 123=0.4031, 124=-0.098, 125=0.1925, 126=0.5713, 127=0.3793, 128=0.6447, 165=0.5599, 100=-0.0161, 167=0.3389, 160=0.3219, 79=-0.0721, 78=0.5049, 115=0.0523, 39=0.1147, 48=0.2095, 76=0.0207, 33=0.3595, 37=0.3173, 131=0.2851, 35=0.425, 19=0.3602, 168=0.3333, 50=0.0059"	"0=33.9%, 1=33.0%, 2=21.4%, 3=11.7%"	"2"
0.0779	6	90	0	0	"48=-0.1031, 192=0.0655, 131=0.3936, 2=0.1085, 4=0.2438, 179=-0.271, 188=0.1077"	"0=12.2%, 1=35.6%, 2=10.0%, 3=42.2%"	"187"
0.2015	1	36	0	0	"1=0.2044, 2=0.2907, 5=0.2364, 4=0.0745"	"0=13.9%, 1=27.8%, 2=41.7%, 3=16.7%"	"6"
0.4358	1	15	0	0	"2=0.5282, 4=0.3953, 48=0.384"	"0=33.3%, 1=53.3%, 2=13.3%, 3=0.0%"	"188"
0.5809	1	15	0	0	"201=0.6071, 4=0.3139, 179=0.8217"	"0=53.3%, 1=33.3%, 2=0.0%, 3=13.3%"	"202"
0.094	1	15	0	0	"131=0.2626, 2=0.1663, 4=-0.1469"	"0=20.0%, 1=40.0%, 2=26.7%, 3=13.3%"	"196"
-0.2007	1	15	1	15	"179=-0.3114, 43=-0.4743, 48=0.3581, 49=-0.375"	"0=0.0%, 1=40.0%, 2=20.0%, 3=40.0%"	"221"
0.177	2	30	0	0	"188=0.3169, 2=0.2672, 4=0.024, 48=0.1001"	"0=33.3%, 1=53.3%, 2=3.3%, 3=10.0%"	"185"
0.1405	1	20	0	0	"100=0.1398, 101=0.0824, 4=0.3396, 96=0.0"	"0=5.0%, 1=25.0%, 2=35.0%, 3=35.0%"	"99"
0.3448	2	40	0	0	"119=0.6202, 4=0.0779, 48=0.2045, 96=0.4768"	"0=47.5%, 1=35.0%, 2=10.0%, 3=7.5%"	"98"
0.201	1	16	0	0	"115=0.0, 158=0.114, 2=0.3333, 48=0.3568"	"0=87.5%, 1=12.5%, 2=0.0%, 3=0.0%"	"168"
0.3582	1	15	1	15	"216=0.2345, 150=0.6138, 48=0.5847, 49=0.0"	"0=40.0%, 1=60.0%, 2=0.0%, 3=0.0%"	"229"
-0.2187	1	15	1	15	"150=-0.0222, 217=-0.4286, 48=-0.2319, 49=-0.1923"	"0=33.3%, 1=40.0%, 2=26.7%, 3=0.0%"	"228"
-0.0857	2	30	2	30	"216=-0.0714, 150=-0.0484, 48=-0.1847, 49=-0.0383"	"0=90.0%, 1=10.0%, 2=0.0%, 3=0.0%"	"227"
0.1273	1	20	0	0	"67=0.0, 64=0.3658, 4=0.2093, 49=-0.0657"	"0=65.0%, 1=25.0%, 2=5.0%, 3=5.0%"	"90"
0.1126	5	100	0	0	"48=0.0626, 19=-0.5532, 107=-0.3407, 4=0.0536, 94=0.3149, 117=0.1358, 110=0.3126, 102=0.0975, 103=0.3363, 105=0.0495, 95=0.0073, 118=0.6698, 96=0.318"	"0=65.0%, 1=27.0%, 2=8.0%, 3=0.0%"	"93"
0.401	1	20	0	0	"2=0.3389, 172=0.8674, 171=0.4588, 48=-0.0609"	"0=95.0%, 1=0.0%, 2=0.0%, 3=5.0%"	"167"
0.1195	2	40	0	0	"48=0.3613, 118=0.2418, 117=-0.3432, 4=-0.093, 93=0.0073, 94=0.4245, 96=0.2375"	"0=35.0%, 1=15.0%, 2=0.0%, 3=50.0%"	"95"
0.2043	2	40	0	0	"48=0.1455, 115=0.2705, 4=-0.19, 93=0.3149, 95=0.4245, 96=0.2606"	"0=12.5%, 1=25.0%, 2=37.5%, 3=25.0%"	"94"
0.0943	1	20	0	0	"98=0.2866, 4=-0.1579, 48=-0.0122, 96=0.2606"	"0=30.0%, 1=35.0%, 2=15.0%, 3=20.0%"	"97"
0.3252	8	160	0	0	"115=-0.1121, 119=0.523, 48=0.0208, 114=0.5929, 100=0.7188, 4=0.375, 118=0.5092, 99=0.0, 98=0.4768, 117=-0.0442, 110=0.0167, 113=0.4359, 112=0.2876, 102=0.6761, 103=0.3981, 93=0.318, 101=0.6819, 95=0.2375, 94=0.2606, 105=0.1318"	"0=72.5%, 1=21.3%, 2=3.8%, 3=2.5%"	"96"
0.46	1	29	0	0	"18=0.7076, 13=0.2344, 12=0.4407, 16=0.4572"	"0=75.9%, 1=10.3%, 2=13.8%, 3=0.0%"	"11"
0.4057	3	80	0	0	"25=0.1549, 19=0.1639, 47=0.5066, 44=0.2465, 45=0.0136, 42=0.6425, 43=0.7302, 1=0.2451, 4=0.4784, 7=0.5758, 9=0.535, 8=0.5758"	"0=48.8%, 1=30.0%, 2=5.0%, 3=16.3%"	"10"
0.4411	1	29	0	0	"11=0.2344, 18=0.7202, 12=0.2764, 16=0.5334"	"0=72.4%, 1=24.1%, 2=3.4%, 3=0.0%"	"13"
0.2989	1	29	0	0	"11=0.4407, 18=0.4956, 13=0.2764, 16=-0.0173"	"0=58.6%, 1=34.5%, 2=6.9%, 3=0.0%"	"12"
0.3495	1	29	0	0	"11=0.4572, 18=0.4248, 13=0.5334, 12=-0.0173"	"0=62.1%, 1=27.6%, 2=6.9%, 3=3.4%"	"16"
0.2221	6	135	0	0	"10=0.1639, 123=-0.0147, 20=0.2374, 22=0.2083, 47=0.2949, 45=0.3125, 37=0.223, 35=0.5508, 107=0.3668, 120=0.4196, 132=0.5631, 1=0.6758, 124=-0.4104, 4=0.0598, 133=0.586, 9=0.4678, 2=0.3602, 100=-0.2925, 93=-0.5532"	"0=20.0%, 1=51.1%, 2=26.7%, 3=2.2%"	"19"
0.3806	2	54	0	0	"24=0.129, 25=0.2666, 26=0.1301, 12=0.4956, 16=0.4248, 23=0.1709, 13=0.7202, 11=0.7076"	"0=74.1%, 1=11.1%, 2=14.8%, 3=0.0%"	"18"
0.1964	3	55	0	0	"48=0.3593, 82=0.2325, 2=0.3756, 124=0.0, 4=0.5621, 126=0.4771, 68=0.4283, 93=0.1358, 95=-0.3432, 118=-0.0225, 96=-0.0442"	"0=50.9%, 1=27.3%, 2=20.0%, 3=1.8%"	"117"
0.0165	1	20	0	0	"115=-0.1597, 4=0.1175, 94=0.0467, 96=0.0613"	"0=40.0%, 1=40.0%, 2=20.0%, 3=0.0%"	"116"
0.6767	1	15	0	0	"203=0.814, 2=0.5892, 4=0.4789, 48=0.8249"	"0=60.0%, 1=40.0%, 2=0.0%, 3=0.0%"	"204"
0.3183	8	125	7	105	"216=0.4352, 217=0.4454, 48=0.2105, 49=0.0851, 76=0.201, 131=0.2327, 123=0.1944, 4=0.277, 229=0.6138, 2=0.4389, 225=0.135, 105=0.5512"	"0=37.6%, 1=25.6%, 2=15.2%, 3=21.6%"	"150"
0.2126	1	20	0	0	"123=-0.0203, 152=0.0609, 4=0.2618, 145=0.5479"	"0=50.0%, 1=35.0%, 2=5.0%, 3=10.0%"	"153"
0.1786	1	20	0	0	"153=0.0609, 123=0.5789, 4=-0.2739, 145=0.3485"	"0=95.0%, 1=5.0%, 2=0.0%, 3=0.0%"	"152"
0.0633	1	20	0	0	"146=0.0491, 139=0.1653, 4=0.3779, 48=-0.339"	"0=35.0%, 1=35.0%, 2=10.0%, 3=20.0%"	"154"
0.4519	1	20	0	0	"123=0.7259, 2=0.5222, 48=0.3246, 156=0.2349"	"0=75.0%, 1=25.0%, 2=0.0%, 3=0.0%"	"157"
0.2814	1	20	0	0	"123=0.3508, 2=0.638, 157=0.2349, 48=-0.098"	"0=75.0%, 1=0.0%, 2=5.0%, 3=20.0%"	"156"
0.3066	1	20	0	0	"158=0.1814, 2=0.3713, 160=0.367"	"0=45.0%, 1=20.0%, 2=20.0%, 3=15.0%"	"159"
0.2395	8	146	0	0	"48=0.1408, 159=0.1814, 115=-0.0015, 183=0.3536, 180=0.3549, 2=0.2079, 168=0.114, 179=0.3971, 165=0.3729, 166=0.3421, 160=0.171"	"0=32.2%, 1=47.9%, 2=19.2%, 3=0.7%"	"158"
-0.2149	1	15	1	15	"216=-0.1191, 150=-0.4287, 229=-0.1231, 48=-0.4034, 49=0.0"	"0=13.3%, 1=33.3%, 2=40.0%, 3=13.3%"	"230"
-0.1062	1	15	1	15	"216=-0.2515, 150=0.1009, 105=0.0508, 48=-0.4034, 49=-0.028"	"0=6.7%, 1=13.3%, 2=40.0%, 3=40.0%"	"231"
0.2226	47	806	10	150	"216=0.3046, 217=0.4098, 126=0.2321, 157=0.3246, 211=0.5488, 158=0.1408, 134=0.1464, 218=0.263, 192=0.8427, 115=-0.0198, 177=0.1809, 131=0.1058, 136=0.227, 179=0.1241, 178=0.4432, 68=0.2559, 205=-0.0439, 139=0.2451, 138=0.2295, 119=0.2182, 100=0.0212, 171=0.1327, 98=0.2045, 207=0.1131, 49=0.0069, 156=-0.098, 43=0.2949, 172=0.1115, 183=0.1746, 180=0.2953, 2=0.2095, 4=0.1685, 188=0.384, 105=0.1571, 166=-0.0294, 146=0.1233, 203=0.6421, 145=0.0396, 142=0.2032, 204=0.8249, 140=0.1749, 206=0.623, 209=0.1269, 208=0.2385, 149=0.4113, 120=0.2317, 76=-0.2367, 122=0.032, 123=0.1377, 124=-0.0349, 229=0.5847, 165=0.2384, 225=0.4041, 167=-0.0609, 95=0.3613, 94=0.1455, 96=0.0208, 150=0.2105, 121=0.1471, 62=0.0264, 117=0.3593, 93=0.0626, 168=0.3568, 50=0.53"	"0=15.4%, 1=38.8%, 2=31.4%, 3=14.4%"	"48"
0.1506	28	542	10	150	"216=0.1584, 217=0.4259, 66=0.3989, 150=0.0851, 218=0.1371, 61=0.1333, 62=0.226, 89=0.2057, 64=0.2152, 65=0.5409, 179=0.519, 67=0.141, 82=0.1578, 83=0.1225, 81=0.3267, 86=0.5238, 87=0.0824, 85=0.2897, 48=0.0069, 43=-0.1556, 2=-0.1229, 4=0.1419, 105=-0.1936, 68=0.4509, 77=0.2617, 76=0.2184, 75=0.1841, 229=0.0, 90=-0.0657, 225=-0.2138, 69=0.3576, 79=-0.1016, 78=-0.2436, 55=0.1239, 51=0.1482, 50=0.101, 53=-0.1363, 88=0.2714"	"0=27.1%, 1=39.3%, 2=20.1%, 3=13.5%"	"49"
0.2075	1	25	0	0	"19=0.2949, 10=0.5066, 1=0.1667, 45=-0.1382"	"0=84.0%, 1=12.0%, 2=4.0%, 3=0.0%"	"47"
0.2752	1	25	0	0	"25=0.2957, 42=0.1921, 43=0.3663, 10=0.2465"	"0=0.0%, 1=56.0%, 2=0.0%, 3=44.0%"	"44"
0.119	1	25	0	0	"19=0.3125, 10=0.0136, 1=0.288, 47=-0.1382"	"0=88.0%, 1=4.0%, 2=4.0%, 3=4.0%"	"45"
0.3413	1	25	0	0	"25=0.0062, 44=0.1921, 43=0.5243, 10=0.6425"	"0=52.0%, 1=28.0%, 2=16.0%, 3=4.0%"	"42"
0.3546	6	125	1	15	"25=0.3713, 48=0.2949, 49=-0.1556, 194=0.5094, 44=0.3663, 42=0.5243, 50=0.3, 120=0.5704, 121=0.3369, 122=0.629, 2=0.3016, 4=-0.1736, 179=0.3597, 10=0.7302"	"0=79.2%, 1=18.4%, 2=2.4%, 3=0.0%"	"43"
0.4609	1	25	0	0	"39=0.4252, 2=0.4451, 4=0.5046, 41=0.4688"	"0=56.0%, 1=36.0%, 2=4.0%, 3=4.0%"	"40"
0.4905	1	25	0	0	"39=0.6682, 2=0.3372, 4=0.488, 40=0.4688"	"0=52.0%, 1=40.0%, 2=4.0%, 3=4.0%"	"41"
0.2202	2	61	0	0	"10=0.2451, 19=0.6758, 47=0.1667, 45=0.288, 2=0.2109, 5=0.2283, 4=-0.2577, 6=0.2044"	"0=44.3%, 1=37.7%, 2=9.8%, 3=8.2%"	"1"
0.1992	1	36	0	0	"1=0.2283, 2=0.2907, 4=0.0414, 6=0.2364"	"0=91.7%, 1=8.3%, 2=0.0%, 3=0.0%"	"5"
0.4009	2	55	0	0	"10=0.535, 19=0.4678, 37=0.7207, 35=0.5265, 2=0.2967, 4=0.3803, 7=0.1402, 8=0.1402"	"0=47.3%, 1=45.5%, 2=3.6%, 3=3.6%"	"9"
0.3729	4	80	0	0	"144=0.2416, 145=0.4144, 48=0.1233, 123=0.7876, 4=0.2441, 139=0.4266"	"0=81.3%, 1=10.0%, 2=7.5%, 3=1.3%"	"146"
0.2007	1	20	0	0	"146=0.2416, 145=-0.0785, 4=0.4391"	"0=40.0%, 1=25.0%, 2=15.0%, 3=20.0%"	"144"
0.3787	5	100	0	0	"146=0.4144, 153=0.5479, 152=0.3485, 48=0.0396, 144=-0.0785, 149=0.5331, 123=0.4589, 4=0.3002, 2=0.6096, 139=0.6128"	"0=67.0%, 1=18.0%, 2=6.0%, 3=9.0%"	"145"
0.5016	1	20	0	0	"139=0.6317, 138=0.4518, 4=0.6102, 140=0.6113, 48=0.2032"	"0=40.0%, 1=40.0%, 2=20.0%, 3=0.0%"	"142"
0.0902	1	20	0	0	"146=0.2017, 144=0.1425, 145=-0.1433, 4=0.1597"	"0=30.0%, 1=25.0%, 2=20.0%, 3=25.0%"	"143"
0.6153	1	20	0	0	"139=0.7774, 138=0.5917, 142=0.6113, 4=0.9215, 48=0.1749"	"0=45.0%, 1=30.0%, 2=10.0%, 3=15.0%"	"140"
0.2862	1	15	0	0	"2=0.3855, 48=0.1809, 178=0.2923"	"0=20.0%, 1=46.7%, 2=6.7%, 3=26.7%"	"177"
0.1759	1	15	0	0	"2=0.2306, 4=0.2942, 179=0.0518, 48=0.1269"	"0=60.0%, 1=33.3%, 2=6.7%, 3=0.0%"	"209"
0.3903	1	15	0	0	"68=0.7105, 62=0.0801, 2=0.5322, 48=0.2385"	"0=40.0%, 1=46.7%, 2=6.7%, 3=6.7%"	"208"
0.5436	1	20	0	0	"123=0.7005, 145=0.5331, 4=0.5294, 48=0.4113"	"0=75.0%, 1=10.0%, 2=5.0%, 3=10.0%"	"149"
0.2408	1	20	0	0	"76=0.4735, 75=0.031, 4=0.1972, 49=0.2617"	"0=30.0%, 1=55.0%, 2=15.0%, 3=0.0%"	"77"
0.1592	3	55	1	15	"216=0.0605, 150=0.201, 48=-0.2367, 49=0.2184, 77=0.4735, 75=0.2011, 2=0.0207, 4=0.2756, 67=0.2182"	"0=54.5%, 1=36.4%, 2=7.3%, 3=1.8%"	"76"
0.1273	2	40	0	0	"49=0.1841, 77=0.031, 76=0.2011, 89=-0.0747, 64=0.242, 4=0.2983, 81=0.0096"	"0=17.5%, 1=52.5%, 2=17.5%, 3=12.5%"	"75"
0.084	1	20	0	0	"68=-0.0963, 50=0.1471, 49=0.2011"	"0=80.0%, 1=15.0%, 2=5.0%, 3=0.0%"	"73"
0.0867	1	20	0	0	"68=0.0727, 50=0.0667, 49=0.1206"	"0=70.0%, 1=20.0%, 2=5.0%, 3=5.0%"	"72"
0.2622	1	20	0	0	"50=0.0414, 4=0.3644, 70=0.3807"	"0=60.0%, 1=5.0%, 2=10.0%, 3=25.0%"	"71"
0.134	1	20	0	0	"4=-0.0078, 71=0.3807, 50=0.0292"	"0=40.0%, 1=20.0%, 2=25.0%, 3=15.0%"	"70"
0.1598	2	40	0	0	"49=-0.1016, 2=-0.0721, 4=0.1037, 67=0.5421, 81=0.212, 78=0.2749"	"0=90.0%, 1=5.0%, 2=5.0%, 3=0.0%"	"79"
0.1995	1	20	0	0	"2=0.5049, 4=0.2618, 79=0.2749, 49=-0.2436"	"0=25.0%, 1=30.0%, 2=25.0%, 3=20.0%"	"78"
